Date,Torah Reading,History,Prophets,Psalms,Proverbs,Gospel,Epistles,Revelation
January 1,Genesis 1,Joshua 1,Isaiah 1,Psalm 1,Proverbs 1,Matthew 1,Acts 1,Revelation 1
January 2,Genesis 2,Joshua 2,Isaiah 2,Psalm 2,Proverbs 2,Matthew 2,Acts 2,Revelation 2
January 3,Genesis 3,Joshua 3,Isaiah 3,Psalm 3,Proverbs 3,Matthew 3,Acts 3,Revelation 3
January 4,Genesis 4,Joshua 4,Isaiah 4,Psalm 4,Proverbs 4,Matthew 4,Acts 4,Revelation 4
January 5,Genesis 5,Joshua 5,Isaiah 5,Psalm 5,Proverbs 5,Matthew 5,Acts 5,Revelation 5
January 6,Genesis 6,Joshua 6,Isaiah 6,Psalm 6,Proverbs 6,Matthew 6,Acts 6,Revelation 6
January 7,Genesis 7,Joshua 7,Isaiah 7,Psalm 7,Proverbs 7,Matthew 7,Acts 7,Revelation 7
January 8,Genesis 8,Joshua 8,Isaiah 8,Psalm 8,Proverbs 8,Matthew 8,Acts 8,Revelation 8
January 9,Genesis 9,Joshua 9,Isaiah 9,Psalm 9,Proverbs 9,Matthew 9,Acts 9,Revelation 9
January 10,Genesis 10,Joshua 10,Isaiah 10,Psalm 10,Proverbs 10,Matthew 10,Acts 10,Revelation 10
January 11,Genesis 11,Joshua 11,Isaiah 11,Psalm 11,Proverbs 11,Matthew 11,Acts 11,Revelation 11
January 12,Genesis 12,Joshua 12,Isaiah 12,Psalm 12,Proverbs 12,Matthew 12,Acts 12,Revelation 12
January 13,Genesis 13,Joshua 13,Isaiah 13,Psalm 13,Proverbs 13,Matthew 13,Acts 13,Revelation 13
January 14,Genesis 14,Joshua 14,Isaiah 14,Psalm 14,Proverbs 14,Matthew 14,Acts 14,Revelation 14
January 15,Genesis 15,Joshua 15,Isaiah 15,Psalm 15,Proverbs 15,Matthew 15,Acts 15,Revelation 15
January 16,Genesis 16,Joshua 16,Isaiah 16,Psalm 16,Proverbs 16,Matthew 16,Acts 16,Revelation 16
January 17,Genesis 17,Joshua 17,Isaiah 17,Psalm 17,Proverbs 17,Matthew 17,Acts 17,Revelation 17
January 18,Genesis 18,Joshua 18,Isaiah 18,Psalm 18,Proverbs 18,Matthew 18,Acts 18,Revelation 18
January 19,Genesis 19,Joshua 19,Isaiah 19,Psalm 19,Proverbs 19,Matthew 19,Acts 19,Revelation 19
January 20,Genesis 20,Joshua 20,Isaiah 20,Psalm 20,Proverbs 20,Matthew 20,Acts 20,Revelation 20
January 21,Genesis 21,Joshua 21,Isaiah 21,Psalm 21,Proverbs 21,Matthew 21,Acts 21,Revelation 21
January 22,Genesis 22,Joshua 22,Isaiah 22,Psalm 22,Proverbs 22,Matthew 22,Acts 22,Revelation 22
January 23,Genesis 23,Joshua 23,Isaiah 23,Psalm 23,Proverbs 23,Matthew 23,Acts 23,Revelation 1
January 24,Genesis 24,Joshua 24,Isaiah 24,Psalm 24,Proverbs 24,Matthew 24,Acts 24,Revelation 2
January 25,Genesis 25,Judges 1,Isaiah 25,Psalm 25,Proverbs 25,Matthew 25,Acts 25,Revelation 3
January 26,Genesis 26,Judges 2,Isaiah 26,Psalm 26,Proverbs 26,Matthew 26,Acts 26,Revelation 4
January 27,Genesis 27,Judges 3,Isaiah 27,Psalm 27,Proverbs 27,Matthew 27,Acts 27,Revelation 5
January 28,Genesis 28,Judges 4,Isaiah 28,Psalm 28,Proverbs 28,Matthew 28,Acts 28,Revelation 6
January 29,Genesis 29,Judges 5,Isaiah 29,Psalm 29,Proverbs 29,Mark 1,Romans 1,Revelation 7
January 30,Genesis 30,Judges 6,Isaiah 30,Psalm 30,Proverbs 30,Mark 2,Romans 2,Revelation 8
January 31,Genesis 31,Judges 7,Isaiah 31,Psalm 31,Proverbs 31,Mark 3,Romans 3,Revelation 9
February 1,Genesis 32,Judges 8,Isaiah 32,Psalm 32,Proverbs 1,Mark 4,Romans 4,Revelation 10
